,Datetime,Tweet Id,Text,Username,label
0,2022-02-21 23:59:59+00:00,1495911210067558403,"Alert: #England,#UK Scraps All #COVID-19 Restrictions

People living in #England would no longer need to isolate after testing positive for #COVID-19 from 24 Feb

Country: #England #UK   

Visit us at https://t.co/0S0reRHIqz https://t.co/x8RVjw0ywZ",WoRisGo_global,1
1,2022-02-21 23:59:59+00:00,1495911209106907139,"The pandemic was essential to introducing the Metaverse concept in 2021-2022. Even as COVID-19 restrictions ease, people have continued to rely on digital tools for these interactions. Normalizing this form of socialization is a crucial aspect to the success of the #Metaverse.",jeffkav,1
2,2022-02-21 23:59:58+00:00,1495911205545914369,Bayern forward Muller tests positive for COVID-19 for a second time https://t.co/cdEtRf9opP,iscorers,1
7,2022-02-21 23:59:52+00:00,1495911177356029966,"@sky_dvr @Bilked2TheBrink @TNIrishLass On the bright side, looks like the CDC is going down over withholding data re COVID-19 (and hopefully away). 🙏🙏🙏",sexton_cecilia,1
9,2022-02-21 23:59:46+00:00,1495911152643198976,"Lol.... ""an issue"".... not incompetence??? 
N.W.T. gov't says 'issue' caused COVID-19 death reporting delay | CBC News https://t.co/o9plsQ2qsl",ArleneHache,1
11,2022-02-21 23:59:40+00:00,1495911128303648769,"💬 Latest updates from IDEAS - https://t.co/fwIvYbNoy2

- Disability Royal Commission
- COVID rules change
- Infoqore directory
- Music therapy

Subscribe to IDEAS eNews: https://t.co/aWOGdu22sY

#enews #disability #DisabilityRC #DRC #COVID19 #nsw #musictherapy #infoqore https://t.co/dkv7HoCyNL",IDEASAU,1
16,2022-02-21 23:59:23+00:00,1495911059399614476,"Over 500K people in Canada are undocumented and denied basic rights! It includes those working on COVID-19 frontlines. Our families are separated or live in fear of detention and deportation. Tell PM @JustinTrudeau to ensure #StatusForAll! 
 
Join us: https://t.co/y9KjMbYsEf https://t.co/XrYpXpm18d",MWACCanada,1
18,2022-02-21 23:59:23+00:00,1495911057419821061,"@RortyMcSnorty @nunyabzns1720 @DJTTracker Cool story, Bro...now do the vaccines for measles, mumps, rubella and polio and so on -- which were all given out for free and were totally transparent.

BTW, US taxpayers funded research &amp; development of COVID19 vaccine, so there should be transparency with what's going in us.",billyengland,1
26,2022-02-21 23:58:53+00:00,1495910932177903620,"“According to Osamu Hotta of the Japanese Focal Inflammation-related Disease Research Group, many patients with COVID-19 aftereffects have acute chronic epipharyngitis.” (“swelling in the back of the nose and throat”)",LauraMiers,1
34,2022-02-21 23:58:42+00:00,1495910887617617928,"@VictorianCHO Wikipedia page is full of LIES and absurdity.
#COVID19 @FX2trot https://t.co/5Ey2SXSRy5",Crito72,1
35,2022-02-21 23:58:42+00:00,1495910885700759554,"2021:4 star rating. Available on over 80 products! #stickers #tshirts #pillows #mugs #masks https://t.co/xYrhLmNmi5
#tshirt #COVID19",pastexpiry,1
37,2022-02-21 23:58:39+00:00,1495910872128303105,"¿Que hacer si la vacuna contra COVID-19  me provoca alguna reacción?
💉En algunos casos es normal experimentar efectos secundarios leves, los cuales indican que el organismo está creando protección contra el coronavirus. https://t.co/nhu0NUVK9X",carlosmartinh,1
38,2022-02-21 23:58:37+00:00,1495910866017005574,"@RepCawthorn Really? About 2,300 have died from COVID-19 in your district. (That’s #NC11, if you’ve forgotten.)

Further proof that you don’t care about anyone. Except yourself, your corporate overlords, and whomever is in charge of your many grifts. #FireMadison

https://t.co/LQ0Hkj5Chp",WNC_Politico,1
49,2022-02-21 23:58:11+00:00,1495910753718738948,Today’s top news in #Bali: PPKM Java Bali extended to Feb 28 + Bali offers 2 quarantine options for tourists + 992 foreigners arrive at Bali Airport Feb. 1-20 + Minister says quarantine-free entry from April + more #COVID19 #COVID19Indonesia #PakaiMasker https://t.co/cVsGEYcnTg,thebalibeat,1
52,2022-02-21 23:58:08+00:00,1495910743367114753,Feel free to bookmark this as it won't age well. #COVID19,AuntieJo14,1
58,2022-02-21 23:58:01+00:00,1495910713793327104,Baptisms during Covid19. A wild guess but I would say it has to be the USA....   #COVID19  😏😏 https://t.co/w4oKib10mj,Tommy10cents,1
62,2022-02-21 23:57:48+00:00,1495910661246930945,"We are so sorry to the families and loved ones of the two people who have died as a result of COVID-19. 

Please see below for today's full update.",PremierofNL,1
69,2022-02-21 23:57:36+00:00,1495910607685619715,@alisonbalsom Been listening to you playing this afternoon as an inspiration for this old lady to make sure I get practice in. Nothing grande just playing in a local community band which was great before Covid -19.,Shultz_PA,1
